"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Pakistan","PAK",163613042,1.10231933877031,2,29,2,4,1,2,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,2,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,1,1,2,2,1,1,,0,0,1,4,4,4,2,5,1,1,1,0
"Pakistan","PAK",113549828,0.394235134354765,1,40,1,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,3,2,3,1,2,2,1,,,,,2,,,2,2,3,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,3,,,,,,,2,2,,,,,2,,,,,,1,2,1,3,3,2,,0,0,5,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",185362095,0.509578059820432,1,20,2,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,3,2,,0,1,4,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",136416803,1.03291563300391,1,30,1,1,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,1,1,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,7,,,2,,,,2,,,,1,2,2,,,1,1,2,2,2,2,2,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,3,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",112485323,1.38963965518673,2,55,2,5,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,3,2,2,1,,3,3,1,2,3,1,,0,1,4,4,4,2,2,5,1,1,0,0
"Pakistan","PAK",183030183,2.08445948278009,2,60,1,3,1,1,1,1,0,2,2,1,1,2,2,3,3,,,,2,,1,2,1,,,,,,,,,,,,,,2,,,1,2,2,,,,1,1,2,1,2,2,1,2,3,2,2,1,2,2,2,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,1,1,3,1,,1,1,4,4,4,4,1,4,1,1,1,0
"Pakistan","PAK",136523893,0.255954364055057,1,40,3,5,1,2,1,1,0,2,2,2,,,2,2,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,2,1,2,1,1,1,2,2,1,1,2,1,2,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,1,4,4,4,4,2,3,1,1,0,0
"Pakistan","PAK",197103855,0.518056473533837,1,40,1,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,3,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,3,1,,0,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",209166128,1.82336206710418,1,50,1,4,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,4,2,1,,0,1,4,3,4,4,4,5,2,2,0,0
"Pakistan","PAK",200770970,0.440912608892491,2,29,2,4,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,3,1,,,,,,,,,,1,1,2,1,2,1,,1,1,1,3,3,,2,4,2,1,2,2,1,2,1,2,1,1,1,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,2,1,2,,1,1,4,4,4,4,2,1,1,1,1,1
"Pakistan","PAK",115241794,0.251685658595747,1,37,2,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,2,2,1,1,2,,,,,2,,,1,2,2,,,,2,2,2,2,2,2,1,,7,,,2,,,,2,,,,1,2,1,1,,,1,2,2,2,2,2,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,3,4,4,4,1,5,2,1,0,0
"Pakistan","PAK",200650621,0.658913227772953,1,35,1,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,3,3,2,3,3,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,3,3,2,,0,0,2,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",199085598,1.1720392594058,2,27,1,2,1,2,1,1,0,1,2,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,3,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,2,2,,2,2,,,,,2,,,,,,2,1,1,4,3,1,,0,1,3,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",117482568,1.70088858144586,2,21,2,2,1,2,1,0,1,,,2,,,,,,,,,,,,,,,1,1,2,2,2,2,2,1,2,1,2,1,2,,,1,1,2,,,,2,2,2,2,2,2,2,,5,1,4,1,1,,,1,1,,,1,2,1,1,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,2,2,1,,0,0,4,4,4,4,1,1,1,1,1,0
"Pakistan","PAK",199517595,0.570584851660482,2,22,2,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,2,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,1,1,2,2,2,2,2,1,2,2,2,2,,0,0,2,4,4,3,2,5,1,1,0,0
"Pakistan","PAK",129497043,0.482136578888425,2,31,1,5,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,3,1,1,3,3,2,,0,0,4,4,4,2,4,5,1,2,0,0
"Pakistan","PAK",188474768,0.710496771967456,2,44,3,5,1,2,1,1,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,1,1,1,2,2,,,2,1,2,,,,2,2,2,2,2,2,2,,3,1,1,2,,,,1,1,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,1,4,4,4,4,1,1,1,1,1,0
"Pakistan","PAK",142540390,1.22923687158171,1,20,1,5,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,1,2,,1,2,2,2,2,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,1,1,1,,1,0,4,4,4,4,4,5,1,2,0,0
"Pakistan","PAK",201911387,1.24220150034436,1,21,3,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,1,3,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,1,1,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,2,2,1,,0,0,4,4,4,4,2,1,1,1,0,0
"Pakistan","PAK",117513937,1.21962194199562,1,35,1,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,3,1,,0,1,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",183333197,0.890445269326008,2,32,2,3,1,2,1,0,1,,,2,,,,,,,,,,,,,,,2,1,2,2,2,1,2,1,2,2,2,1,2,,,1,1,2,,,,2,2,2,2,2,2,1,,5,1,1,2,,,,1,2,1,1,1,2,1,1,,,2,,,,,,,2,2,,,,,1,1,2,1,,,3,1,1,2,3,1,,0,1,4,4,4,1,1,2,1,1,1,0
"Pakistan","PAK",139829339,1.70066555966583,1,18,1,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,1,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",207912086,0.428452911090272,2,34,1,1,1,2,1,0,1,,,2,,,,,,,,,,,,,,,2,1,2,2,2,1,2,1,2,2,2,1,2,,,2,2,2,,,,2,2,2,2,2,2,2,,3,1,4,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,0,4,4,4,4,4,5,1,2,1,0
"Pakistan","PAK",198635412,1.01641751084845,2,50,1,5,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,4,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,0,4,4,4,4,2,5,1,1,0,0
"Pakistan","PAK",111155267,0.547912686296078,1,55,2,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,2,2,3,2,2,,1,0,4,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",203672779,2.87565051753909,1,19,1,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,1,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,3,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",112213240,0.540180703087105,2,49,1,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,1,3,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,3,2,2,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,2,2,2,1,1,,1,1,4,4,4,4,2,3,1,2,0,0
"Pakistan","PAK",159394119,1.02126851742123,1,17,1,2,2,1,1,1,0,2,2,2,,,2,1,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,5,2,,2,,0,1,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",183102987,0.251685658595747,2,40,1,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,1,2,1,2,2,,,,,2,,,2,1,2,,,,2,2,2,2,1,2,2,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,2,1,,0,1,4,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",210351030,1.72575613462074,2,24,1,4,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,1,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,2,3,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",174381904,0.848384379228884,1,40,1,3,2,1,1,1,0,,,2,,,,,,,,,,,,,,,1,1,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,2,2,3,3,2,,0,0,4,4,4,4,1,5,1,2,1,0
"Pakistan","PAK",139337234,0.551750761498956,1,22,2,5,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,0,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",176356783,0.697225371389823,2,34,3,5,1,2,1,1,1,1,1,1,2,,1,1,2,,,,1,1,1,1,1,,,,,,,,,,1,2,2,1,2,,,1,1,2,,,,2,1,2,1,2,2,2,2,1,3,2,1,1,,,1,2,2,1,1,1,1,2,,,1,1,1,2,,,2,2,2,,,,,2,,,,,,2,1,2,2,2,2,,1,0,1,4,4,4,1,1,1,1,1,0
"Pakistan","PAK",115543760,0.251685658595747,1,51,2,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,3,3,,2,,0,0,4,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",196606458,0.461454924685903,2,44,1,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,1,2,2,2,2,,0,0,2,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",116680702,0.257256985593974,1,30,2,2,2,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,2,1,,0,0,4,4,4,4,2,5,1,2,1,0
"Pakistan","PAK",185915943,0.497442759285608,1,35,2,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,1,1,,0,0,4,4,4,4,2,5,2,2,0,0
"Pakistan","PAK",195196497,0.957831507913689,2,24,2,5,1,2,1,1,0,1,2,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,2,1,2,2,2,1,,0,1,1,4,4,4,2,5,1,1,1,0
"Pakistan","PAK",121152814,1.87154163672451,1,15,1,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,2,2,,1,1,2,2,1,,2,,,,,,2,2,1,1,4,2,,0,0,3,2,2,4,4,5,2,2,0,0
"Pakistan","PAK",127417336,0.428452911090272,2,25,2,3,1,2,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,1,2,2,2,2,2,,,2,2,2,,,,2,2,2,2,2,2,2,,2,2,2,2,,,,2,,,,1,2,2,,,1,1,2,2,1,,,2,1,2,2,1,,,1,1,2,2,1,,2,2,2,3,2,1,,0,0,1,1,4,2,2,5,1,2,1,0
"Pakistan","PAK",139712565,0.711180615751168,2,36,1,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,1,2,2,2,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,1,3,2,2,,0,0,4,4,4,4,2,4,1,1,0,0
"Pakistan","PAK",129392165,0.251685658595747,1,25,1,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,1,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,2,2,,0,0,4,4,4,4,4,5,1,2,0,0
"Pakistan","PAK",159926810,0.759849046192994,1,35,1,3,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,3,2,2,2,2,2,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,1,1,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,1,1,,1,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",167085722,0.703042793290049,2,34,1,4,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,2,2,2,,,,2,,,,2,,,,,,1,2,2,2,2,2,,2,2,,,,,2,,,,,,2,1,2,2,2,1,,0,0,3,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",115176685,0.428452911090272,2,33,1,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,2,2,1,2,2,,0,0,4,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",134201510,1.19734138681428,1,50,1,2,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,3,3,2,3,3,3,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,3,1,,0,1,4,4,4,4,4,3,1,2,0,0
"Pakistan","PAK",113575261,1.09984809768585,2,23,1,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,3,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,1,2,,1,2,2,1,2,3,1,4,2,,,,2,,,,1,2,2,,,1,4,,,,,,,1,2,2,2,2,4,2,,,,,,1,1,2,2,2,1,,1,1,5,3,4,4,2,5,1,1,0,0
"Pakistan","PAK",129660444,0.424608122316612,2,46,1,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,3,2,2,2,3,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,0,2,4,4,4,4,5,1,2,0,0
"Pakistan","PAK",206745248,0.527282094967536,2,27,2,5,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,3,2,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,2,3,1,,0,1,2,4,4,4,4,5,4,1,0,0
"Pakistan","PAK",142255240,0.428452911090272,2,30,2,4,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,4,3,1,,0,0,4,4,4,4,2,5,1,1,0,0
"Pakistan","PAK",137389386,1.51395646054833,2,34,2,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,,,,,2,,,2,1,2,,,,1,2,2,2,1,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,2,2,,1,2,2,2,2,2,2,,,,,,2,1,2,2,2,1,,1,1,3,3,4,4,2,5,1,1,0,0
"Pakistan","PAK",190703067,0.251685658595747,1,35,2,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,1,1,1,1,2,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,2,1,,0,1,4,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",173262278,0.652958750822702,1,30,2,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,2,2,1,1,1,,7,,,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,2,1,1,1,0,0
"Pakistan","PAK",209226738,0.670633158942993,1,15,1,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,3,3,1,3,2,1,1,2,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,2,3,1,,1,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",152412357,3.64672413420837,1,50,1,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,3,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,3,2,2,1,,3,2,2,3,2,1,,0,0,4,4,4,2,2,5,1,1,0,0
"Pakistan","PAK",124624168,0.612859118408367,1,26,1,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,1,3,2,1,1,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,4,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,1,3,3,1,,0,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",197160760,3.78443057226974,1,20,1,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,3,3,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,2,3,2,1,,0,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",205649337,0.251685658595747,1,25,1,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,3,2,1,3,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,3,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,0,4,4,4,4,5,5,1,2,0,0
"Pakistan","PAK",177312009,0.251685658595747,1,35,2,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,3,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,2,1,,2,,,,,,1,1,1,1,3,1,,0,1,4,2,4,4,2,5,1,2,0,0
"Pakistan","PAK",160197929,1.11691711134441,2,18,2,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,4,5,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,4,5,4,5,,2,,0,0,4,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",176818689,0.251685658595747,2,36,1,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,3,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,1,2,,1,1,4,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",122462761,0.335316579471496,1,22,1,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,2,1,,2,,,,,,1,1,1,1,1,1,,0,1,4,2,4,4,2,5,1,2,0,0
"Pakistan","PAK",205988676,1.67537566701661,2,20,1,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,2,2,,,,2,,,,1,2,2,,,1,1,2,2,2,2,2,,2,2,,,,,2,,,,,,2,1,1,2,3,1,,0,1,3,4,4,4,2,5,1,1,0,0
"Pakistan","PAK",141728248,0.289439232739157,2,40,1,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,2,,0,0,4,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",188873486,1.10350152299791,1,16,1,4,2,1,1,1,0,,,2,,,,,,,,,,,,,,,2,1,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,1,2,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,1,4,4,5,2,3,1,0
"Pakistan","PAK",159668154,1.34126631788599,1,16,1,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,3,3,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,0,0,4,4,4,4,4,5,2,2,0,0
"Pakistan","PAK",139719542,0.527302302811482,2,45,1,2,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,3,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,2,3,1,1,,0,0,2,4,4,4,2,5,1,2,0,0
"Pakistan","PAK",151263413,0.481342165723311,1,30,3,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,2,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Pakistan","PAK",126541662,1.25434431588348,1,24,1,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,2,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,3,,3,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,4,4,6,2,,0,0,4,4,4,4,4,5,2,2,0,0
